ISO3,Country,Year,Hypertension_Pct,Hypertension_Diagnosed_Pct,Hypertension_Treated_Pct,Hypertension_Controlled_Pct,Untreated_Stage2_Pct
ASM,American Samoa,1990,0.4518451267108995,0.349203263569696,0.2783345873636945,0.0547393466651449,0.2829123302050355
ASM,American Samoa,1991,0.44875079456321354,0.350373872635539,0.277501731199221,0.054448479048089,0.278761322132125
ASM,American Samoa,1992,0.445736867311696,0.35163339630554946,0.2768914350735605,0.0545069077345338,0.2747694824092835
ASM,American Samoa,1993,0.44278579382085004,0.3529681868620165,0.27650693332666954,0.054880623757432,0.2709416288778025
ASM,American Samoa,1994,0.43993296196987797,0.354604458062472,0.2762864129913815,0.0556122980693939,0.2672439635492655
ASM,American Samoa,1995,0.4372267323575365,0.3562477575400905,0.276227049585333,0.05664796832482916,0.263687650426288
ASM,American Samoa,1996,0.434858256615499,0.357884137771516,0.27625468089483,0.0579038608771799,0.260278591952194
ASM,American Samoa,1997,0.432878501241894,0.359747186530681,0.276479652379023,0.059353664700925304,0.257074047722104
ASM,American Samoa,1998,0.43136711535296346,0.3617568338715475,0.2769152710505835,0.0609447876402121,0.2541193211657625
ASM,American Samoa,1999,0.43038769452743,0.364055944049766,0.277519238201547,0.062612928888184,0.25148342901802
ASM,American Samoa,2000,0.42995453729689503,0.3666613125254185,0.27841745053850453,0.06440431641901115,0.24907735982502852
ASM,American Samoa,2001,0.43006881421626253,0.3696623686073085,0.27967304277475,0.06634847568399374,0.246952230074398
ASM,American Samoa,2002,0.43074374401862003,0.373085442961978,0.281280920758763,0.0684606150517149,0.24516168439366998
ASM,American Samoa,2003,0.4319884086187215,0.37700053037874004,0.2831617193894365,0.07069300330708225,0.243691414254589
ASM,American Samoa,2004,0.43372669489355553,0.3814784521768685,0.285323846718111,0.07304421412619336,0.24255952907710301
ASM,American Samoa,2005,0.435943321306618,0.386545000031846,0.28770036794125997,0.07545699414558621,0.241817319667256
ASM,American Samoa,2006,0.438583189936474,0.3921157479651295,0.29009441287692,0.0778411773062591,0.2414501355870125
ASM,American Samoa,2007,0.4416485510808355,0.398082690948866,0.292406829694356,0.0801166548147382,0.2413979015205765
ASM,American Samoa,2008,0.44496295124992,0.40436103553916847,0.2945844468961225,0.08228119314443205,0.2416548896354395
ASM,American Samoa,2009,0.448344251704364,0.41093397598701753,0.296609714248674,0.08436154346055715,0.24216572239026501
ASM,American Samoa,2010,0.4515684382580285,0.417717221728515,0.298513281622017,0.0864470176570299,0.24286117820022501
ASM,American Samoa,2011,0.45457082391256154,0.4245075384474545,0.3002840443386565,0.0886323187498164,0.243686222636844
ASM,American Samoa,2012,0.457281817365053,0.43128820767438003,0.301899618383201,0.09090966708577415,0.2447180633532115
ASM,American Samoa,2013,0.459659074778228,0.4381241822467965,0.3032862162199235,0.0933461781637599,0.2459389122100045
ASM,American Samoa,2014,0.4618255781228955,0.44498149819986554,0.3044759677538885,0.0959598798809541,0.2473730463134015
ASM,American Samoa,2015,0.4638294890454045,0.451682823916444,0.30550858736153397,0.09871903712854765,0.2489735774864315
ASM,American Samoa,2016,0.465751544932539,0.4582845530151415,0.306625926248204,0.1016626304535457,0.250676892013602
ASM,American Samoa,2017,0.4677790228133235,0.464582129958944,0.3074324865505415,0.10462630263751045,0.2526013691363525
ASM,American Samoa,2018,0.4697700647551065,0.4707770582320295,0.3083482926072,0.10800887854441699,0.25465546411456996
ASM,American Samoa,2019,0.4717964747566995,0.476902026727346,0.3093632233982805,0.1117946635273569,0.256817097690966
COK,Cook Islands,1990,0.391731708192687,0.3964817188906515,0.33730370646892405,0.0845980592882181,0.243889767445649
COK,Cook Islands,1991,0.39069301572159854,0.4011821491315025,0.33976548228903447,0.0855266907967988,0.23961004456663548
COK,Cook Islands,1992,0.389768647159657,0.40622357012524846,0.3423944337548785,0.0868922405533773,0.2354426433845765
COK,Cook Islands,1993,0.38891725837706903,0.41131344176733053,0.3452419812789655,0.08869095653349784,0.2314533487984875
COK,Cook Islands,1994,0.38824497822744797,0.4164148381784725,0.34825014404449295,0.09099734715437,0.22760541531453848
COK,Cook Islands,1995,0.387809394725015,0.421740357526567,0.3514434478716505,0.09373892539634525,0.2239225004348505
COK,Cook Islands,1996,0.3876542235214175,0.427175427765592,0.3547364036761145,0.09684599917117054,0.22040686562148698
COK,Cook Islands,1997,0.387824929194432,0.4326099101889605,0.358200321697024,0.10028150168971775,0.217034568840455
COK,Cook Islands,1998,0.3883482824255655,0.4379738480492385,0.36181643374099,0.1039331980200073,0.21385965154929598
COK,Cook Islands,1999,0.38926183217843247,0.4433835601340135,0.36552551790914345,0.1076838186063119,0.21090871936416
COK,Cook Islands,2000,0.390574027727057,0.44891991851639645,0.36937761185782103,0.11157863112228514,0.208154635738462
COK,Cook Islands,2001,0.392214364739406,0.4546435044621945,0.373453868429901,0.1156453363416829,0.20565433021788598
COK,Cook Islands,2002,0.3941817223252835,0.4605569604015485,0.3776699864494685,0.11979824365570385,0.2034087840787025
COK,Cook Islands,2003,0.396405682705057,0.466689075586125,0.3819896907615335,0.12395714769607455,0.201380029895057
COK,Cook Islands,2004,0.3987679466889955,0.47301288600157254,0.3863292455488605,0.1280063700325652,0.1995990772927275
COK,Cook Islands,2005,0.401332218518927,0.4795451517344925,0.390563452852988,0.13185422959631404,0.1981414174782575
