ISO3,Country,Year,Underweight_Pct,HealthyWeight_Pct,Overweight_Pct,Obesity_Pct,Class1_Obesity_Pct,Class2_Obesity_Pct,Morbid_Obesity_Pct
ASM,American Samoa,1980,0.0074689572697276005,0.15316396389803638,0.28330742338193515,0.5413961100103519,0.28999121741656575,0.16019193055602995,0.09121296203775606
ASM,American Samoa,1981,0.0071582528891362,0.14656437497783995,0.2792424814172825,0.553142241674609,0.29209003785688126,0.1653499011112688,0.09570230270645891
ASM,American Samoa,1982,0.0068594307101789,0.14005577538152175,0.27496786839722864,0.5649615896140501,0.2939800029111228,0.1706023664386226,0.10037922026430449
ASM,American Samoa,1983,0.0065735923819133495,0.13371327970743796,0.2705424289970686,0.576718572547286,0.29562999162277853,0.1758922752307263,0.10519630569378115
ASM,American Samoa,1984,0.00629967597942885,0.12760029824112923,0.26599568972939724,0.5883206496615212,0.29702320768711676,0.1811706264616399,0.1101268155127644
ASM,American Samoa,1985,0.0060370657183029496,0.12176509037177655,0.2613932975913682,0.5996529897820475,0.298142474877945,0.18636276343042574,0.1151477514736767
ASM,American Samoa,1986,0.005785355377655749,0.11626022550303969,0.25677377505517973,0.6106220981958486,0.2989797973453323,0.19141323217120498,0.12022906867931116
ASM,American Samoa,1987,0.0055455451346579,0.11113915627814946,0.2521949548009957,0.6211162109738453,0.29954433251326107,0.19624207065000876,0.1253298078105754
ASM,American Samoa,1988,0.0053183346775988495,0.1064182324901793,0.2477016992822001,0.6310715322687479,0.29985075480735013,0.20081493834664274,0.13040583911475484
ASM,American Samoa,1989,0.00510383842025895,0.10212550248800084,0.24334213771915847,0.6404136623316277,0.29989256027833533,0.2050629786652841,0.135458123388008
ASM,American Samoa,1990,0.00490137302056725,0.09828021526465835,0.2391770246910398,0.6490639709460388,0.2996905385975811,0.20892994472881785,0.14044348761963985
ASM,American Samoa,1991,0.00471153124060175,0.09490767308591286,0.23526314311897262,0.656939932208397,0.299254131470312,0.2123525696276994,0.14533323111038549
ASM,American Samoa,1992,0.0045343553077259995,0.0919993918039001,0.23160232357887106,0.6640490354059769,0.29859540905308934,0.21534845165950928,0.1501051746933782
ASM,American Samoa,1993,0.0043689547923789,0.08951510034616769,0.22819990632986395,0.6704292468790605,0.29777012477923775,0.2179350270174544,0.15472409508236815
ASM,American Samoa,1994,0.004216352767489,0.08740665818301174,0.2250457518729721,0.6761400353322976,0.2968319348990721,0.22015216250902608,0.15915593792419924
ASM,American Samoa,1995,0.00407485993995595,0.08564456476849469,0.22213252403435318,0.6812221843903576,0.2958142998670445,0.2220272311397538,0.16338065338355934
ASM,American Samoa,1996,0.0039424183601976005,0.08415632406059875,0.21942564304632728,0.6857909190157649,0.2947360714349892,0.2236292328531391,0.1674256147276365
ASM,American Samoa,1997,0.0038188175389472,0.0829106960087896,0.21689971973451264,0.6899054715721492,0.2936178776276305,0.2249823819468947,0.17130521199762389
ASM,American Samoa,1998,0.0037026740758895,0.0818576128339689,0.21451701596007444,0.6936554251346921,0.29245837397448354,0.2261293693371198,0.17506768182308863
ASM,American Samoa,1999,0.0035953183367916,0.08096604735958421,0.21223648524761968,0.6971142589113983,0.29128254749788746,0.22708651179644285,0.17874519961706792
ASM,American Samoa,2000,0.00349633136606825,0.08020317951120201,0.21003354641814653,0.7003393678804606,0.29008852786384287,0.22789421283530942,0.1823566271813081
ASM,American Samoa,2001,0.0034052222628690003,0.07954162921536205,0.20787738169430556,0.703391436950808,0.2888673693347041,0.2285864308027707,0.18593763681333308
ASM,American Samoa,2002,0.00332140648325995,0.07895403060683885,0.20574144056772176,0.7063264822078799,0.2876198562525669,0.22917645288535204,0.18953017306996064
ASM,American Samoa,2003,0.00324476351311255,0.07841546664180199,0.2035980521804166,0.7091974179337663,0.2863350496748329,0.22970562750247542,0.19315674075645786
ASM,American Samoa,2004,0.00317529945010365,0.07790824821678875,0.20140456687092445,0.7120651635173907,0.28502226809193026,0.2302225374594607,0.19682035796599961
ASM,American Samoa,2005,0.00311424565007575,0.07742058239119165,0.19914348154721515,0.7149575125879608,0.28369402148339073,0.2307317579564029,0.2005317331481671
ASM,American Samoa,2006,0.0030606005152981498,0.076943751466422,0.19679742387990096,0.7179026376560366,0.28232716606417235,0.23126291890904999,0.20431255268281417
ASM,American Samoa,2007,0.0030147237969185498,0.0764760819575061,0.19432896880192455,0.7209411421013385,0.28094382455386346,0.23180680165773754,0.20819051588973742
ASM,American Samoa,2008,0.00297621567261245,0.0760165199038658,0.19176600583573356,0.7240491461368623,0.27953714204587093,0.23237596691815765,0.2121360371728337
ASM,American Samoa,2009,0.0029439198206012,0.07557134776608905,0.1891288035900937,0.727203363665647,0.2781259385078922,0.232963748315802,0.2161136768419527
ASM,American Samoa,2010,0.00291860036357995,0.07518656700683544,0.1864799978935347,0.7302929137393646,0.27670340629206425,0.23351139922277225,0.2200781082245281
ASM,American Samoa,2011,0.0029003519219577,0.074859385142669,0.18380969842457479,0.733332438046352,0.27521596073448307,0.23406191320376035,0.22405456410810853
ASM,American Samoa,2012,0.0028883828530977002,0.0745722950986735,0.18113841286192064,0.7363202229923653,0.2737008369978307,0.23462216525391016,0.22799722074062445
ASM,American Samoa,2013,0.0028831499532179002,0.0743112196417457,0.17846331245859545,0.7392717790313925,0.27215030457790523,0.23520479876646244,0.2319166756870248
ASM,American Samoa,2014,0.0028844991627786,0.07407075717916284,0.17579118399182175,0.7421859360239678,0.2705394780819833,0.23585381916174558,0.23579263878023876
ASM,American Samoa,2015,0.00289249472663665,0.07383022601954815,0.17310628934744998,0.7450985569744459,0.2688742695728591,0.2365821914777289,0.23964209592385782
ASM,American Samoa,2016,0.00290760976440805,0.07358997443675044,0.17041529527422214,0.7480023017575231,0.2671312489608416,0.23737954951674817,0.24349150327993324
ASM,American Samoa,2017,0.00293127205797785,0.0733792147504245,0.1677253983196681,0.7508590459649072,0.26527699190472126,0.23823104749152424,0.24735100656866144
ASM,American Samoa,2018,0.0029637786374841,0.073210253128885,0.16505815226250714,0.7536341166973083,0.26333667110663916,0.23911224653247942,0.25118519905818965
ASM,American Samoa,2019,0.0030055105363181,0.07307942628758154,0.16241544797051688,0.7563292683323617,0.2612997593493068,0.24001008252132172,0.2550194264617331
ASM,American Samoa,2020,0.0030562281084821003,0.0729727900585357,0.15978344388610555,0.7589729934461903,0.25920202497053624,0.24092178655290186,0.2588491819227522
ASM,American Samoa,2021,0.0031151596630149,0.07288044177620845,0.15717275644337095,0.76156537916423,0.2570858335250193,0.2418386772360117,0.26264086840319883
ASM,American Samoa,2022,0.00318255769844875,0.07281064833311265,0.15459385178335067,0.7640869372399883,0.25497751656987105,0.2427293701467155,0.2663800505234015
ASM,American Samoa,2023,0.0032578836250167003,0.0727693159726222,0.1520467467712551,0.7665322093350345,0.25288898998826476,0.2435951351404399,0.27004808420632975
ASM,American Samoa,2024,0.0033411716139238497,0.07275767943331315,0.14954305756374336,0.7688891037976358,0.2508231653966704,0.2444278193543909,0.27363811904657437
COK,Cook Islands,1980,0.01380210771372405,0.2314651732074523,0.3227299383326634,0.406272681104502,0.22687398900067623,0.11090534902823505,0.06849334307559055
COK,Cook Islands,1981,0.013151038942716301,0.2253133737967178,0.32176072839249564,0.41523227990651845,0.23041375276403026,0.1141754680367714,0.07064305910571675
COK,Cook Islands,1982,0.0125278086045711,0.21911718304428213,0.32061526478686564,0.42433667285853754,0.23390294427088448,0.11753492251391891,0.07289880607373406
COK,Cook Islands,1983,0.01193404988949135,0.21292552006420623,0.3193255202041094,0.4335038556481467,0.2373145739708465,0.120950605073899,0.07523867660340111
COK,Cook Islands,1984,0.01137137952751645,0.20677936885607912,0.31789228462295127,0.442687777924867,0.2406178310925611,0.12442073847545375,0.0776492083568521
COK,Cook Islands,1985,0.010836209586360099,0.20073179730035412,0.31634876210480084,0.4518034430180017,0.24378270643470717,0.1278970181915952,0.0801237183916992
COK,Cook Islands,1986,0.010329100041322599,0.1948256070770257,0.31470415240261584,0.4607999146680038,0.24678236147410484,0.1313738768694531,0.0826436763244458
COK,Cook Islands,1987,0.00984898157429305,0.18912467332065436,0.3129504647530911,0.4696228844696637,0.24962913140163706,0.13480394342560179,0.08518980964242476
COK,Cook Islands,1988,0.00939692898644535,0.18364795489795593,0.31109009725749603,0.4782476503505807,0.2523223341877824,0.13817323339268894,0.08775208277010929
COK,Cook Islands,1989,0.00897111734209425,0.17844283975825193,0.3091399962360146,0.4866131847532489,0.25483073112336607,0.141446839692853,0.0903356139370297
COK,Cook Islands,1990,0.0085703927288044,0.1735270855725033,0.3071314707731143,0.49467314146904506,0.2571511598513547,0.144605695220141,0.09291628639754926
COK,Cook Islands,1991,0.0081946353784787,0.1689307901171933,0.30505839149513836,0.5024040099914377,0.2592754137915907,0.14762821963108302,0.09550037656876406
COK,Cook Islands,1992,0.0078436258223746,0.16466028718159859,0.3029399309035282,0.5097823813199777,0.2612146121225979,0.1504970775294467,0.098070691667933
COK,Cook Islands,1993,0.0075150202369401505,0.16071427289989396,0.3007597241205728,0.5168291811200435,0.26298015642408457,0.15321931946916165,0.10062970522679725
COK,Cook Islands,1994,0.007209782624586,0.15705707376164935,0.29850715229652436,0.5235926816277688,0.26461456708996967,0.1558143634871093,0.10316375105068976
COK,Cook Islands,1995,0.0069251116090197,0.15365636841250535,0.29617633800879506,0.530118025872728,0.2661354257923767,0.15831740899297,0.1056651910873814
COK,Cook Islands,1996,0.00665902707691105,0.15046090344615398,0.29374268442136625,0.5364885244100617,0.26754287580087344,0.16076482625159866,0.10818082235758955
COK,Cook Islands,1997,0.00640897819508515,0.14745089494002722,0.29119657539935123,0.5427389196056114,0.26886087671413544,0.16314078165345974,0.11073726123801605
COK,Cook Islands,1998,0.00617464128469505,0.14457558182180819,0.28853728736596734,0.5489242433804828,0.27010272931582036,0.16544829172515652,0.11337322233950586
COK,Cook Islands,1999,0.005956186097349251,0.14181979977272124,0.2857454607156951,0.5550776773031593,0.27124476844659234,0.16769971755101745,0.11613319130554935
COK,Cook Islands,2000,0.00575276160503235,0.13914903935287776,0.2828319352792776,0.5612256025933183,0.27231065924410147,0.16988841924285375,0.119026524106363
COK,Cook Islands,2001,0.005562807136644201,0.13654667871168596,0.27977358201639574,0.5674112593070043,0.2732979952587682,0.1720172030139473,0.1220960610342888
COK,Cook Islands,2002,0.00538511723043625,0.13396461219604225,0.276584683359908,0.5736699898022253,0.2741952331307401,0.17408660581980828,0.1253881508516769
